bowl	door	1.00	1.00
book	cabinet	1.67	1.00
lobster	toilet	1.00	1.00
rifle	wheelbarrow	1.00	1.00
harp	umbrella	1.00	1.00
mug	zebra	1.00	1.00
bridge	table	1.25	1.50
harp	truck	1.00	1.00
door	truck	1.50	1.25
microscope	owl	1.00	1.00
giraffe	owl	2.00	1.00
lobster	zebra	2.00	1.00
bed	canoe	1.00	1.00
bathtub	chair	1.25	1.00
revolver	rifle	4.00	4.25
butterfly	zebra	2.00	1.00
bridge	wheel	1.00	1.00
ant	harp	1.00	1.00
bowl	trombone	1.00	1.00
cat	pig	2.20	2.00
octopus	pumpkin	1.00	1.25
bench	ship	1.25	1.00
piano	umbrella	1.00	1.00
grenade	revolver	2.80	1.00
grenade	rooster	1.00	1.00
bridge	pumpkin	1.00	1.00
camel	pineapple	1.00	1.00
cow	mushroom	1.00	1.00
bed	chair	3.25	2.25
giraffe	pigeon	2.20	1.00
microscope	rabbit	1.00	1.00
comb	key	1.25	1.50
cup	table	1.60	1.00
book	umbrella	1.00	1.00
rifle	saxophone	1.00	1.60
camel	giraffe	3.00	3.00
fork	giraffe	1.00	1.20
cat	toilet	1.00	1.00
chandelier	wheelbarrow	1.00	1.20
mug	spoon	2.60	1.00
key	violin	1.00	1.00
submarine	sword	1.00	1.00
crocodile	dolphin	2.25	1.50
pumpkin	tomato	2.75	2.50
key	revolver	1.00	1.20
basket	strawberry	1.00	1.00
bowl	pig	1.00	1.00
candle	envelope	1.00	1.00
cat	duck	2.20	1.20
helicopter	wheel	1.20	1.20
microscope	piano	1.00	1.00
bed	table	2.50	1.75
socks	spoon	1.00	1.00
helmet	rifle	1.50	1.00
cow	violin	1.00	1.00
key	pear	1.00	1.00
apple	strawberry	3.75	1.75
envelope	wheelbarrow	1.50	1.00
banana	pear	3.00	2.00
ant	seagull	2.00	1.00
carrot	door	1.00	1.00
cow	envelope	1.00	1.00
tent	umbrella	2.20	1.60
giraffe	strawberry	1.00	1.00
giraffe	horse	2.00	1.60
apple	sword	1.00	1.00
hammer	telephone	1.20	1.00
socks	trousers	2.40	1.60
canoe	harp	1.00	1.00
helicopter	submarine	2.00	1.25
giraffe	revolver	1.00	1.00
mug	sword	1.00	1.00
dog	scissors	1.00	1.00
screwdriver	shovel	2.20	1.40
bowl	envelope	1.20	1.00
snail	van	1.00	1.20
fork	pen	1.20	1.40
octopus	spider	1.40	2.20
tractor	wheelbarrow	2.20	1.60
basket	harp	1.00	1.00
sailboat	umbrella	1.40	1.20
helicopter	wheelbarrow	2.00	1.25
envelope	hammer	1.00	1.00
grenade	knife	3.00	1.25
dolphin	seagull	2.25	1.25
basket	candle	1.50	1.25
trombone	trumpet	4.00	3.60
bridge	tent	1.40	1.60
elephant	swan	1.60	1.20
chandelier	dog	1.00	1.00
mushroom	seagull	1.00	1.00
lobster	tomato	1.75	1.50
rooster	socks	1.00	1.00
crab	dog	1.60	1.00
key	rifle	1.20	1.00
radio	telephone	2.20	1.20
pumpkin	zebra	1.00	1.00
horse	scissors	1.00	1.00
guitar	octopus	1.00	1.00
candle	zebra	1.00	1.00
guitar	violin	3.60	3.20
ant	chair	1.00	1.00
frog	pigeon	1.80	1.20
helicopter	pumpkin	1.00	1.20
camel	dog	2.25	1.75
microscope	telephone	1.50	1.50
mug	pineapple	1.25	1.25
airplane	helicopter	3.50	2.75
guitar	piano	3.50	1.25
comb	revolver	1.00	1.00
comb	elephant	1.00	1.00
ant	pineapple	1.20	1.00
lion	tiger	4.25	3.25
crab	duck	1.40	1.00
canoe	pigeon	1.00	1.00
axe	bus	1.00	1.00
lobster	scissors	1.00	1.25
apple	elephant	1.00	1.00
airplane	key	1.00	1.00
camel	trumpet	1.00	1.20
bench	crown	1.00	1.00
crown	scissors	1.20	1.20
bus	envelope	1.00	1.00
axe	knife	3.40	2.40
sword	trombone	1.00	1.00
helmet	tent	1.20	1.20
chandelier	couch	1.40	1.00
knife	rifle	2.60	1.40
bowl	cup	3.80	3.20
butterfly	frog	1.25	1.00
pig	swan	1.50	1.00
cat	dog	3.60	2.80
fork	wheelbarrow	1.00	1.00
pig	sheep	3.20	2.50
fork	zebra	1.00	1.00
bowl	crab	1.20	1.00
cow	wheelbarrow	1.00	1.00
bathtub	door	1.80	1.00
pigeon	zebra	1.20	1.00
key	pineapple	1.00	1.20
guitar	telephone	1.20	1.20
apple	octopus	1.00	1.00
spoon	trumpet	1.00	1.00
mushroom	shovel	1.00	1.00
cup	mug	5.00	4.25
elephant	squirrel	2.50	1.25
crab	spider	4.00	2.25
bathtub	couch	1.20	1.60
bowl	mug	4.20	2.60
book	ship	1.00	1.00
radio	tent	1.00	1.00
carrot	tomato	2.60	1.00
pumpkin	swan	1.00	1.00
sailboat	sheep	1.00	1.00
harp	sailboat	1.00	1.00
crown	rabbit	1.00	1.00
book	dog	1.00	1.00
microscope	scissors	1.00	1.00
cat	frog	1.75	1.00
cannon	mug	1.00	1.00
chair	couch	4.00	2.80
mushroom	tomato	2.25	1.50
crocodile	elephant	1.40	1.00
apple	pineapple	3.00	1.60
scissors	socks	1.00	1.00
harp	piano	3.75	1.50
key	screwdriver	1.80	2.00
microscope	penguin	1.00	1.33
